Model,Accuracy,Precision,Recall,F1 Score,MCC Score
Logistic Regression,0.988125,0.988219149173517,0.988125,0.9880399726526318,0.9788014393564659
Decision Tree,1.0,1.0,1.0,1.0,1.0
KNN,0.7,0.7062382330446938,0.7,0.6755774289975552,0.43296556289093197
Naive Bayes,0.74625,0.8163173527443105,0.74625,0.7080829264615772,0.5763291095598458
Random Forest,1.0,1.0,1.0,1.0,1.0
XGBoost,1.0,1.0,1.0,1.0,1.0
